$id,InternationSecIN,Symbol,PrevClose,OpenPrice,DaysHigh,DaysLow,Volume,Value,MarketCap,SharesOutstanding,Dividend,Yield,Sector,SubSector,CompanyName,MarketClassification,DateListed,DateOfIncorporation,Website,Logourl,StockPricePercChange,StockPriceChange,StockPriceCur,CompanyProfileSummary,NatureofBusiness,CompanyAddress,Telephone,Fax,Email,CompanySecretary,Auditor,Registrars,BoardOfDirectors,ID,HIGH52WK_PRICE,HIGH52WK_DATETIME,LOW52WK_PRICE,LOW52WK_DATETIME,Symbol2,LS_STD,OFFICIAL_OPEN,OFFICIAL_CLOSE,LastUploadInfo,QuaterID,QuaterYear,TotalAssetsUnderManagement,imgPath,Address,Cable,PAddress,Telex
1,NGABBEY00001,ABBEYBDS,8.95,8.95,,,240521.0,1985601.75,90876923078.3,10153846154.0,,,FINANCIAL SERVICES,"""Mortgage Carriers, Brokers an",ABBEY MORTGAGE BANK PLC,Main Board,,1991-08-26T00:00:00,www.abbeymortgagebankplc.com,www.abbeymortgagebankplc.com,0.0,0.0,8.95,,Primary Mortgage Bank (PMB),23 KARIMU KOTUN STREET VICTORIA ISLAND LAGOS,019035700,,enquiries@abbeymortgagebankplc.com,,,,,2,16.35,2026-02-09T00:00:00,5.0,2025-06-13T00:00:00,ABBEYBDS  ,",",,,,,,,,,,,
2,NGACADEMY008,ACADEMY,8.75,8.75,,,63621.0,515292.5,7938000000.0,907200000.0,,,SERVICES,Printing/Publishing,ACADEMY PRESS PLC.,Main Board,1965-06-15T00:00:00,1964-07-28T00:00:00,www.academypress-plc.com,www.academypress-plc.com,0.0,0.0,8.75,,"Offset Lithographic printing, Educational and Trade Books, confidential Printing, Full Colour Work","28/32 Industrial Avenue, Ilupeju Industrial Estate, Ilupeju - Lagos",08034035130,,applc@academypress-plc.com,,,,Oluwakemi Ogunnubi,4,9.38,2025-07-29T00:00:00,2.17,2025-04-07T00:00:00,ACADEMY  ,",",,,,,,,,,,,
3,NGACCESS0005,ACCESSCORP,26.0,26.0,27.0,25.95,232980471.0,6060332692.75,1413770707908.0,54375796458.0,,,FINANCIAL SERVICES,Other Financial Institutions,ACCESS HOLDINGS PLC,Premium Board,2022-03-28T00:00:00,2021-02-10T00:00:00,theaccesscorporation.com,theaccesscorporation.com,0.19,0.0,26.0,,PROVISION OF BANKING AND OTHER FINANCIAL SERVICES TO CORPORATE AND INDIVIDUAL CUSTOMERS ,"ACCESS TOWER, 14/15 PRINCE ALABA ONIRU STREET",234-01-46192649,,info@theaccesscorporation.com,Sunday Ekwochi,KPMG,Coronation Registrars Limited ,"Abubakar  Jimoh , Aigboje  Aig-Imoukhuede, Bolaji  Agbede , Fatimah  Bello-Ismail, Ibironke  Adeyemi, Innocent  Ike, Lanre Bamisebi, Ojinika  Olaghere , Olusegun  Ogbonnewo",5,28.95,2025-07-24T00:00:00,19.9,2025-11-11T00:00:00,ACCESSCORP [MRF] ,"[MRF],",26.0,,,,,,,,,,
4,NGAFRIPRUD04,AFRIPRUD,13.6,13.6,14.1,13.15,3665250.0,49665696.6,53400000000.0,4000000000.0,,,FINANCIAL SERVICES,Other Financial Institutions,AFRICA PRUDENTIAL PLC,Main Board,2013-11-01T00:00:00,2006-03-23T00:00:00,www.africaprudential.com,www.africaprudential.com,-1.84,-0.25,13.35,,Share Registration,"220B, IKORODU ROAD,PALMGROVE,LAGOS",07080606400,,cxc@africaprudential.com,Joseph Jibunoh,,,"UKOH VINCENT, Zubaida Rasheed",7,19.25,2026-02-25T00:00:00,13.15,2026-04-08T00:00:00,AFRIPRUD  ,",",,,,,,,,,,,
5,NGAFRINSURE4,AFRINSURE,0.2,0.2,,,,,4117000000.0,20585000000.0,,,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",AFRICAN ALLIANCE INSURANCE PLC,Main Board,2009-09-17T00:00:00,1960-05-06T00:00:00,www.africanallianceplc.com,www.africanallianceplc.com,0.0,0.0,0.2,,Life and Pension Businesses,"54, Awolowo Road, Ikoyi, Lagos",08066309476,,info@africanallianceplc.com,,,,,6,,,,,AFRINSURE [MRF] ,"[MRF],",,,,,,,,,,,
6,NGAFROMEDIA7,AFROMEDIA,0.24,0.24,,,,,1065371276.64,4439046986.0,2010.0,,SERVICES,Advertising,AFROMEDIA PLC,Main Board,2009-05-18T00:00:00,1959-10-28T00:00:00,www.afromediaplc.com,www.afromediaplc.com,0.0,0.0,0.24,,Out-of-Home Media Services,"39, LADIPO BATEYE STREET, GRA, IKEJA, LAGOS",07013486336,,info@afromediaplc.com,,,,"Kabiru Usman, Lateef Akande  Bakare, Olujide Shokunbi",8,,,,,AFROMEDIA [MRF] ,"[MRF],",,,,,,,,,,,
7,NGAIICO00006,AIICO,4.2,4.2,4.19,4.05,8448364.0,34815060.71,152644000974.21,36605276013.0,,,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",AIICO INSURANCE PLC.,Main Board,,1970-07-14T00:00:00,www.aiicoplc.com,www.aiicoplc.com,-0.71,-0.03,4.17,,Provision of Insurance Services to Individuals and Corproate clients and Investment,"AIICO Plaza, Plot PC 12, Churchgate Street, Victoria Island, Lagos",012792930,2348022921804-5,info@aiicoplc.com,,,,,9,5.11,2025-08-14T00:00:00,1.26,2025-04-08T00:00:00,AIICO  ,",",,,,,,,,,,,
8,GB00BKDRYJ47,AIRTELAFRI,2497.0,2497.0,,,18.0,49440.6,9384104305488.0,3758151504.0,,,ICT,Telecommunications Services,AIRTEL AFRICA PLC,Main Board,2019-07-09T00:00:00,2018-07-12T00:00:00,,,0.0,0.0,2497.0,,Telecommunication Services,,,,,,,,,1,2497.0,2026-03-24T00:00:00,2372.5,2025-05-27T00:00:00,AIRTELAFRI  ,",",,,,,,,,,,,
9,NGALEX000003,ALEX,10.55,10.55,,,90802.0,979903.9,2320535800.0,219956000.0,,,NATURAL RESOURCES,Metals,ALUMINIUM EXTRUSION IND. PLC.,Main Board,1987-12-29T00:00:00,1982-10-26T00:00:00,http://alexnigeria.com/,http://alexnigeria.com/,0.0,0.0,10.55,,Manufacturing and Sales of Extruded Aluminium Products and Roofing Shets,"Km 4, Atta-Amaimo Road, Inyishi, P.M.B. 1581, Owerri, Imo State",07059872478,,alex@alexnigeria.com,,,,,10,24.1,2026-01-05T00:00:00,7.15,2025-09-26T00:00:00,ALEX [MRF] ,"[MRF],",,,,,,,,,,,
10,NGARADEL0004,ARADEL,1265.0,1265.0,,,1020198.0,1228577734.9,5496228115400.0,4344844360.0,,,OIL AND GAS,Integrated Oil and Gas Service,ARADEL HOLDINGS PLC,Main Board,2024-10-14T00:00:00,1992-03-25T00:00:00,www.aradel.com,www.aradel.com,0.0,0.0,1265.0,,"Exploration, Production, and refining of Petroleum Product, and renewables","15 BABATUNDE JOSE STREET, VICTORIA ISLAND LAGOS",01234080567,0292005828J7Q6AI9H09,titiomisore@aradel.com,,,,,11,1340.0,2026-03-09T00:00:00,448.0,2025-04-28T00:00:00,ARADEL [MRF] ,"[MRF],",,,,,,,,,,,
